timestamp,username,ip,status
2025-12-28 10:00:00,alice,192.168.1.100,SUCCESS
2025-12-28 10:01:00,bob,203.0.113.1,FAIL
2025-12-28 10:02:00,bob,203.0.113.1,FAIL
2025-12-28 10:03:00,bob,203.0.113.1,FAIL
2025-12-28 10:04:00,bob,203.0.113.1,FAIL
2025-12-28 10:05:00,charlie,192.168.1.50,SUCCESS
2025-12-28 10:06:00,admin,203.0.113.1,FAIL
2025-12-28 10:07:00,admin,203.0.113.1,FAIL
2025-12-28 10:08:00,admin,203.0.113.1,FAIL
2025-12-28 10:09:00,david,10.0.0.5,FAIL
2025-12-28 10:10:00,eve,192.168.1.75,SUCCESS
2025-12-28 10:11:00,frank,203.0.113.2,FAIL
2025-12-28 10:12:00,grace,192.168.1.80,SUCCESS
2025-12-28 10:13:00,heidi,203.0.113.2,FAIL
2025-12-28 10:14:00,ivan,10.0.0.5,FAIL
2025-12-28 10:15:00,judy,192.168.1.90,SUCCESS
2025-12-28 10:16:00,mallory,203.0.113.3,FAIL
2025-12-28 10:17:00,mallory,203.0.113.3,FAIL
2025-12-28 10:18:00,mallory,203.0.113.3,FAIL
2025-12-28 10:19:00,mallory,203.0.113.3,FAIL
2025-12-28 10:20:00,mallory,203.0.113.3,FAIL
2025-12-28 10:21:00,mallory,203.0.113.3,FAIL
2025-12-28 10:22:00,mallory,203.0.113.3,FAIL
2025-12-28 10:23:00,mallory,203.0.113.3,FAIL
2025-12-28 10:24:00,mallory,203.0.113.3,FAIL
2025-12-28 10:25:00,mallory,203.0.113.3,FAIL
2025-12-28 10:26:00,oscar,10.0.0.5,FAIL
2025-12-28 10:27:00,peggy,192.168.1.95,SUCCESS
2025-12-28 10:28:00,alice,192.168.1.100,SUCCESS
2025-12-28 10:29:00,bob,203.0.113.1,SUCCESS
2025-12-28 10:30:00,charlie,192.168.1.50,SUCCESS
2025-12-28 10:31:00,admin,203.0.113.1,FAIL
2025-12-28 10:32:00,admin,203.0.113.1,FAIL
2025-12-28 10:33:00,david,10.0.0.5,FAIL
2025-12-28 10:34:00,david,10.0.0.5,FAIL
2025-12-28 10:35:00,admin,203.0.113.1,FAIL
2025-12-28 10:36:00,admin,203.0.113.1,FAIL
2025-12-28 10:37:00,user01,203.0.113.4,FAIL
2025-12-28 10:38:00,user02,203.0.113.4,FAIL
2025-12-28 10:39:00,user03,203.0.113.4,FAIL
2025-12-28 10:40:00,admin,203.0.113.4,FAIL
2025-12-28 10:41:00,root,203.0.113.4,FAIL
2025-12-28 10:42:00,alice,192.168.1.100,SUCCESS
2025-12-28 10:43:00,bob,192.168.1.101,SUCCESS
2025-12-28 10:44:00,charlie,192.168.1.50,FAIL
2025-12-28 10:45:00,charlie,192.168.1.50,SUCCESS
2025-12-28 10:46:00,attacker,203.0.113.5,FAIL
2025-12-28 10:47:00,attacker,203.0.113.5,FAIL
2025-12-28 10:48:00,attacker,203.0.113.5,FAIL
2025-12-28 10:49:00,attacker,203.0.113.5,FAIL
2025-12-28 10:50:00,attacker,203.0.113.5,FAIL